Name	*Rune Name	complete	firstLadderSeason	lastLadderSeason	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Runeword1	Holy	1				tors	shld	helm	char	boot	belt					gcw						gethit-skill	Magic Surge	5	5																									0
Runeword2	Holy	1				tors	shld	helm	char	boot	belt					gfw						gethit-skill	Magic Surge	8	8																									0
Runeword3	Holy	1				tors	shld	helm	char	boot	belt					gsw						gethit-skill	Magic Surge	11	11																									0
Runeword4	Holy	1				tors	shld	helm	char	boot	belt					glw						gethit-skill	Magic Surge	14	15																									0
Runeword5	Holy	1				tors	shld	helm	char	boot	belt					gpw						gethit-skill	Magic Surge	17	20																									0
Runeword6	Holy	1				tors	shld	helm	char	boot	belt					gwb						gethit-skill	Magic Surge	20	25																									0
Runeword7	Holy	1				tors	shld	helm	char	boot	belt					gcw	gcw					gethit-skill	Magic Surge	6	6																									0
Runeword8	Holy	1				tors	shld	helm	char	boot	belt					gfw	gfw					gethit-skill	Magic Surge	9	9																									0
Runeword9	Holy	1				tors	shld	helm	char	boot	belt					gsw	gsw					gethit-skill	Magic Surge	12	12																									0
Runeword10	Holy	1				tors	shld	helm	char	boot	belt					glw	glw					gethit-skill	Magic Surge	15	16																									0
Runeword11	Holy	1				tors	shld	helm	char	boot	belt					gpw	gpw					gethit-skill	Magic Surge	18	21																									0
Runeword12	Holy	1				tors	shld	helm	char	boot	belt					gwb	gwb					gethit-skill	Magic Surge	21	26																									0
Runeword13	Holy	1				tors	shld	helm	char							gcw	gcw	gcw				gethit-skill	Magic Surge	7	7																									0
Runeword14	Holy	1				tors	shld	helm	char							gfw	gfw	gfw				gethit-skill	Magic Surge	10	10																									0
Runeword15	Holy	1				tors	shld	helm	char							gsw	gsw	gsw				gethit-skill	Magic Surge	13	13																									0
Runeword16	Holy	1				tors	shld	helm	char							glw	glw	glw				gethit-skill	Magic Surge	16	17																									0
Runeword17	Holy	1				tors	shld	helm	char							gpw	gpw	gpw				gethit-skill	Magic Surge	19	22																									0
Runeword18	Holy	1				tors	shld	helm	char							gwb	gwb	gwb				gethit-skill	Magic Surge	22	27																									0
Runeword19	Holy	1				tors	shld	helm								gcw	gcw	gcw	gcw			gethit-skill	Magic Surge	8	8																									0
Runeword20	Holy	1				tors	shld	helm								gfw	gfw	gfw	gfw			gethit-skill	Magic Surge	11	11																									0
Runeword21	Holy	1				tors	shld	helm								gsw	gsw	gsw	gsw			gethit-skill	Magic Surge	14	14																									0
Runeword22	Holy	1				tors	shld	helm								glw	glw	glw	glw			gethit-skill	Magic Surge	17	18																									0
Runeword23	Holy	1				tors	shld	helm								gpw	gpw	gpw	gpw			gethit-skill	Magic Surge	20	23																									0
Runeword24	Holy	1				tors	shld	helm								gwb	gwb	gwb	gwb			gethit-skill	Magic Surge	23	28																									0
Runeword25	Holy	1				tors										gcw	gcw	gcw	gcw	gcw		gethit-skill	Magic Surge	9	9																									0
Runeword26	Holy	1				tors										gfw	gfw	gfw	gfw	gfw		gethit-skill	Magic Surge	12	12																									0
Runeword27	Holy	1				tors										gsw	gsw	gsw	gsw	gsw		gethit-skill	Magic Surge	15	15																									0
Runeword28	Holy	1				tors										glw	glw	glw	glw	glw		gethit-skill	Magic Surge	18	19																									0
Runeword29	Holy	1				tors										gpw	gpw	gpw	gpw	gpw		gethit-skill	Magic Surge	21	24																									0
Runeword30	Holy	1				tors										gwb	gwb	gwb	gwb	gwb		gethit-skill	Magic Surge	24	29																									0
Runeword31	Holy	1				tors										gcw	gcw	gcw	gcw	gcw	gcw	gethit-skill	Magic Surge	10	10																									0
Runeword32	Holy	1				tors										gfw	gfw	gfw	gfw	gfw	gfw	gethit-skill	Magic Surge	13	13																									0
Runeword33	Holy	1				tors										gsw	gsw	gsw	gsw	gsw	gsw	gethit-skill	Magic Surge	16	16																									0
Runeword34	Holy	1				tors										glw	glw	glw	glw	glw	glw	gethit-skill	Magic Surge	19	20																									0
Runeword35	Holy	1				tors										gpw	gpw	gpw	gpw	gpw	gpw	gethit-skill	Magic Surge	22	25																									0
Runeword36	Holy	1				tors										gwb	gwb	gwb	gwb	gwb	gwb	gethit-skill	Magic Surge	25	30																									0
Runeword37	Holy	1				weap	glov	misl								gcw						hit-skill	Magic Surge	2	1																									0
