skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Attack	0		attack	1	1																																																																																																							1	1																			0		both		weap			tpot							A1	A1	A1				1		1	1								1		1													1									1					clc6	1	1					0	8	0	0	1					1	0	3				skill('Amplify Damage'.blvl)+skill('Weaken'.blvl)+skill('Dim Vision'.blvl)+skill('Iron Maiden'.blvl)+skill('Decrepify'.blvl)+skill('Terror'.blvl)+skill('Confuse'.blvl)+skill('Life Tap'.blvl)+skill('Lower Resist'.blvl)+skill('Poison Mastery'.blvl)	synergy bonuses for curses					max(25,50-clc5/4+(clc5*clc5)/8000)*(100-20*stat('extra_crossbow_bolts'.accr))/100	effective reload time	(120*stat('item_fasterattackrate'.accr))/(120+stat('item_fasterattackrate'.accr))+(stat('attackrate'.accr)-100)	the IAS formula used for crossbow reload speed and maelstrom cascade	(stat('item_crossbowpassive'.accr)>0)*clc4	cd if crossbow is present																									1								8	128																																					0
Kick	1		kick	2	2																																																																																																							0	0																			0		h2h	4											KK	KK	xx						1	1							1			1													1									1					skill('Attack'.clc6)	0	0					0	8	0	0																																																1							1	8																																						0
Throw	2		throw	65	3																																																																																																							2	2																			0		rng		thro										TH	TH	xx				1													1													1															1	1					0	8	0	0	1																																															1								8	128																																					0
Unsummon	3		unsummon	3	4																																																																																																							3	0																			0		rng												SC	SC	xx						1						1					1													1									1						0	1					0	8	0	0	1	1																																														1								8																																						0
Left Hand Throw	4		left hand throw	65	5																																																																																																							2	2																			0		rng	1	thro										S4	S4	xx			1	1													1													1															1	1					0	8	0	0	1																																															1								8																																						0
Left Hand Swing	5		left hand swing	1	1																																																																																																							4	1																			0		both	1	weap			tpot							S3	S3	S3			1	1		1	1										1													1															0	0					0	8	0	0	1					1	0	3																																								1								8																																						0
Magic Arrow	6	ama	magic arrow		8													magicarrow	magicarrow	magicarrow																																																																																									17						magicarrow	magicarrow	magicarrow										1	0	1	rng		miss										A1	A1	xx				1													1			1										1	20													skill('Attack'.clc6)	1	1					0	6	8	1	1											(clc6)?5:1				(clc6)?5:1		clc6?50:max(1,5-lvl/15)	freq			(skill('Magic Arrow'.blvl)+skill('Evade'.blvl))>39																15	damage synergy									1	10		10*lvl+skill('Eagle Eye'.blvl)*par8					8	32														mag																					256	2000	0
Cold Arrow	7	ama	cold arrow	39											coldarrow									skilldamagestate				damagepercent	10*lvl+skill('Critical Strike'.blvl)*par8																																																																																					coldarrow													1	4		rng		miss										A1	A1	A1				1													1			1										12	20					Magic Arrow								skill('Attack'.clc6)	1	1					1	7	4	1	1													40				((skill('Cold Arrow'.blvl)+skill('Power of Athulua'.blvl))>39)?1:4																				15	damage and ar synergy									1	10		10*lvl+skill('Exploding Arrow'.blvl)*par8					8	64														cold														25	5	5	5				256	2000	0
Inner Sight	8	ama	inner sight		6																		34179		innersight	ln34	ln78	armor_override_percent	-(dm12+(skill('Sharpened Focus'.blvl)+skill('Penetrate'.blvl)))*(100+clc6)/100	damageresist	-(dm56+skill('Sharpened Focus'.clc1))*(100+clc6)/100	fireresist	-skill('Sharpened Focus'.clc2)*(100+clc6)/100	coldresist	-skill('Sharpened Focus'.clc2)*(100+clc6)/100	lightresist	-skill('Sharpened Focus'.clc2)*(100+clc6)/100	poisonresist	-skill('Sharpened Focus'.clc2)*(100+clc6)/100																																																							amazon_eyeofzeus											cast_innersight																						1	3		none												SC	SC	SC					4												1			1							amazon_eyeofzeus	cast_innersight		6	20					Evade			1						1	1					1	7	6	1	1																					(skill('Curse Enhancement'.lvl)>0)*50		4	reduce monster ac% min	25	reduce monster ac% max	200	duration	50	duration per level	0	reduce enemy dr min	25	reduce enemy dr max	10	radius of effect	1	radius of effect per level									1								8																																				1023	8000	0
Critical Strike	9	ama	critical strike																																											criticalstrike			item_deadlystrike	(15+lvl)*(100+blvl*3)/100																																																																													1	4		rng														xx				1													1													1	20														0	0					0	8	0	0	1								1															25	min % to do double damage																							1								8																																				1023	8000	0
Splintering Javelin	10	ama	splintering javelin	39											splinterjavelin									skilldamagestate				damagepercent	10*lvl+skill('Spearstorm'.blvl)*par8																																																																		amazon_jab_1																			splinterjavelin													1	3		rng		jave										TH	TH	xx				1											1		1			1										1	20														1	1					1	6	8	1	1													40				3-(lvl>19)-clc6				(((skill('Splintering Javelin'.blvl)+skill('Eagle Eye'.blvl))>39)*(stat('randomgenerator'.accr)>500))																15	damage and ar synergy									1	10		10*lvl+skill('Fend'.blvl)*par8					8	32																																			256	2000	0
Fire Arrow	11	ama	fire arrow												poisonarrow																																																																															amazon_cast_poison		1																		poisonarrow													1	3		rng		miss										A1	A1	A1				1													1			1										1	20													skill('Attack'.clc6)	1	1					1	7	4	1	1																	4-(1-min(1,stat('pierce_idx'.accr)-(stat('pierce_idx'.accr)/3)*3))*3				stat('item_crossbowpassive'.accr)>0	used for third missile attacks in missiles.txt															5	damage synergy									1								7	128														pois	1	1	2	3	4	6	2	2	3	5	6	13	(((100+(skill('Immolation Arrow'.blvl)+skill('Freezing Arrow'.blvl)+skill('Ice Arrow'.blvl))*par8)*((stat('item_crossbowpassive'.accr)>0)?25:10))/10)-100	10							256	2000	0
Multiple Shot	12	ama	multiple shot		8													multipleshotarrow	multipleshotbolt																																																																																										17						multipleshotarrow	multipleshotbolt											1	7		rng		miss										A1	A1	xx				1													1			1										6	20													skill('Attack'.clc6)	1	1					1	6	4	1	1											min(20,5+lvl/4)	# missiles			min(20,5+lvl/4)	triggered	((skill('Strafe'.blvl)+skill('Multiple Shot'.blvl))>39)?clc6:4		10*lvl+skill('Legendary Arrow'.blvl)*par8		4-(1-min(1,stat('pierce_idx'.accr)-(stat('pierce_idx'.accr)/3)*3))*3		6	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.									15	damage and ar synergy									1	10		10*lvl+skill('Magic Arrow'.blvl)*par8					8	32																																			256	2000	0
Dodge	13	ama	dodge																																											ironskin			passive_dodge	dm12*(100+blvl*3)/100	passive_avoid	dm12*(100+blvl*3)/100	passive_evade	dm12*(100+blvl*3)/100																																									amazon_dodge_1																																1	0		h2h												S1	S1	xx																	1													12	20					Avoid									0	0					0	8	0	0	1								1															1	min % dodge	30	max % dodge											0	dodge synergy									1								8																																				1023	8000	0
Spearstorm	14	ama	spearstorm	39	11													spearstorm	spearstorm	spearstorm				skilldamagestate		clc2		damagepercent	ln12+skill('Dance of Death'.blvl)*par8																																																																		amazon_jab_1		1												19						spearstorm	spearstorm	spearstorm										1	5		h2h		spea										A1	A1	A1			1	1		1	1								1		1			1			4		1					1	20														1	1					1	6	8	1	1											1	#missiles	((skill('Spearstorm'.blvl)+skill('Sharpened Focus'.blvl))>39)?250:35	duration			max(1,6-lvl/10)						20	damage	20	damage per level											15	damage and ar synergy									1	15		15*lvl+skill('Fend'.blvl)*par8					8	26																																	4		256	2000	0
Pyre Javelin	15	ama	pyre javelin		8													pyrejavelin	pyrejavelin	pyrejavelin				maul		par4+skill('Shape Shifting'.blvl)*25		damagepercent	lvl*par3	stunlength	dm56	velocitypercent	lvl*par2*(skill('Shared Savagery'.lvl)>0)	lifedrainmindam	lvl*par2*(skill('Shared Savagery'.lvl)>0)	lifedrainmaxdam	lvl*par2*(skill('Shared Savagery'.lvl)>0)																																																									weapon_throw_1		1													17						pyrejavelin	pyrejavelin	pyrejavelin										1	2		rng		thro										TH	TH	xx				1													1			1										6	20					Splintering Javelin									1	1					1	7	8	1	1											(((stat('hitpoints'.accr)*3)<stat('maxhp'.accr))*(skill('Athulua Final Hunt Passive'.lvl)>0))?2:1				(((stat('hitpoints'.accr)*4)<stat('maxhp'.accr))*(skill('Athulua Final Hunt Passive'.lvl)>0))?2:1																						5	damage synergy									1								8	128														fire	2	2	4	7	9	11	4	3	5	8	10	12	(skill('Splintering Javelin'.blvl)+skill('Frost Javelin'.blvl)+skill('Plague Javelin'.blvl)+skill('Lightning Fury'.blvl))*par8								512	4000	0
Exploding Arrow	16	ama	exploding arrow	39											explodingarrow								42371	skilldamagestate			10	damagepercent	10*lvl+skill('Critical Strike'.blvl)*par8																																																																																					explodingarrow													1	5		rng		miss										A1	A1	A1				1													1			1										24	20					Cold Arrow								skill('Attack'.clc6)	1	1					1	7	4	1	1											1	#missiles	40		1	triggered	((skill('Exploding Arrow'.blvl)+skill('Wisdom of Athulua'.blvl))>39)?1:4																				15	damage and ar synergy									1	10		10*lvl+skill('Cold Arrow'.blvl)*par8					8	64														fire																					256	2000	0
Sharpened Focus	17	ama	sharpened focus																																																																																											amazon_handofathena											cast_slowmissiles																						1	8		none												SC	SC	xx					4												1													12	20					Inner Sight									0	0					0	7	0	0	1								1			(((lvl>0)?5:0+lvl/5)*(100+blvl*3)/100)	phys resist bonus	(((lvl>0)?10:0+lvl/4)*(100+blvl*3)/100)	ele resist bonus									25	% Velocity of missiles Min	75	% Velocity of missiles Max	100	Duration baseline	25	Duration per level	15	Radius baseline	1	Radius per level	0	reduce elemental	35	reduce elemental max									1								8																						5	5	5	10	15	15	blvl*4								1023	8000	0
Avoid	18	ama	avoid																																											sway			armorclass	edmn*(100+blvl*3)/100																																																																													1	0		h2h												S1	S1	xx																	1													6	20														0	0					0	8	0	0	1								1																													10	def synergy									1								8																10	10	20	30	40	40															1023	8000	0
Inferno Fury	19	ama	inferno fury												infernofury												16+lvl/7																																																																			weapon_throw_1																				infernofury													1	4		rng		jave										TH	TH	xx				1													1			1										12	20					Spearstorm									1	1					1	7	6	1	1											3+lvl/7						((skill('Inferno Fury'.blvl)+skill('Power of Athulua'.blvl))>39)?3:4																				15	damage and ar synergy									1	10		10*lvl+skill('Lightning Strike'.blvl)*par8					8	32														fire	2	2	4	6	6	6	3	3	6	8	8	8	skill('Hailstorm'.blvl)*par8								256	2000	0
Frost Javelin	20	ama	frost javelin		8													frostjav	frostjav	frostjav																																																																																									17						frostjav	frostjav	frostjav										1	6		rng		thro										TH	TH	xx				1													1			1										24	20					Plague Javelin									1	1					1	7	16	1	1											(((stat('hitpoints'.accr)*3)<stat('maxhp'.accr))*(skill('Athulua Final Hunt Passive'.lvl)>0))?2:1				(((stat('hitpoints'.accr)*4)<stat('maxhp'.accr))*(skill('Athulua Final Hunt Passive'.lvl)>0))?2:1								4	radius	0	radius per level	50	freeze frames	0	freeze frames per level			1	radius synergy	5	freeze synergy	5	damage synergy									1								8	128														cold	15	10	15	20	30	40	20	20	25	30	40	50	(skill('Splintering Javelin'.blvl)+skill('Pyre Javelin'.blvl)+skill('Plague Javelin'.blvl)+skill('Lightning Fury'.blvl))*par8	25	5	5	5				512	4000	0
